neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,instant_bookable,bedrooms,bed_type,beds,cleaning_fee,availability_365,guests_included,extra_people,minimum_nights,cancellation_policy,high_end_electronics,smoke_detector,washing_machine,heating,hair_dryer,hangers,tv,kitchen,workspace,internet,price
Jamaica Plain,Apartment,Private room,2,2.0,f,1.0,Real Bed,1.0,80.0,337,1,20.0,1,strict,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,120.00000000000003
Jamaica Plain,House,Private room,2,3.5,f,1.0,Real Bed,2.0,0.0,365,1,25.0,2,flexible,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,125.0
Jamaica Plain,Apartment,Private room,1,1.0,f,1.0,Pull-out Sofa,1.0,0.0,363,1,0.0,1,flexible,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,70.00000000000007
Jamaica Plain,Condominium,Private room,2,1.0,f,1.0,Real Bed,1.0,10.0,0,1,0.0,1,flexible,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,100.00000000000003
Jamaica Plain,Condominium,Private room,2,1.0,f,1.0,Real Bed,1.0,10.0,255,1,0.0,1,moderate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,61.00000000000001
Jamaica Plain,House,Private room,4,1.0,f,1.0,Real Bed,2.0,0.0,328,2,50.0,1,strict,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,125.0
Jamaica Plain,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,0.0,316,1,0.0,1,flexible,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,100.00000000000003
Jamaica Plain,Apartment,Private room,1,1.0,f,1.0,Real Bed,1.0,5.0,0,1,0.0,1,flexible,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,26.999999999999996
Jamaica Plain,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,0.0,0,1,0.0,2,flexible,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,80.00000000000003
Jamaica Plain,House,Private room,2,1.0,f,1.0,Real Bed,1.0,0.0,365,1,0.0,1,flexible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.99999999999997
Jamaica Plain,House,Private room,3,1.0,f,1.0,Real Bed,2.0,0.0,358,1,25.0,1,flexible,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,75.0
Jamaica Plain,House,Private room,1,1.0,f,1.0,Real Bed,1.0,0.0,341,1,0.0,7,flexible,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,56.999999999999986
Jamaica Plain,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,0.0,0,1,0.0,1,moderate,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,100.00000000000003
Jamaica Plain,Apartment,Private room,1,1.0,f,1.0,Real Bed,1.0,5.0,309,1,0.0,1,flexible,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,40.00000000000001
Jamaica Plain,House,Private room,1,1.0,f,1.0,Real Bed,1.0,100.0,279,1,0.0,4,strict,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,100.00000000000003
Jamaica Plain,House,Private room,2,2.5,f,1.0,Real Bed,1.0,20.0,333,1,0.0,1,flexible,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,70.00000000000007
Jamaica Plain,Apartment,Entire home/apt,4,1.0,f,2.0,Real Bed,2.0,0.0,48,2,15.0,4,moderate,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,190.0
Jamaica Plain,Apartment,Entire home/apt,3,1.0,f,1.0,Real Bed,1.0,50.0,333,1,0.0,7,flexible,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,149.00000000000009
Jamaica Plain,Apartment,Entire home/apt,6,1.0,f,2.0,Real Bed,2.0,120.0,285,1,0.0,3,moderate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,168.0
Jamaica Plain,House,Entire home/apt,5,2.0,f,3.0,Real Bed,4.0,50.0,257,1,0.0,2,moderate,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,205.00000000000003
Jamaica Plain,House,Private room,2,2.5,f,1.0,Real Bed,1.0,15.0,331,1,0.0,1,flexible,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,64.99999999999997
Jamaica Plain,Apartment,Entire home/apt,2,1.0,f,1.0,Futon,1.0,18.0,0,1,0.0,1,flexible,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,75.0
Jamaica Plain,Condominium,Entire home/apt,4,1.0,t,2.0,Real Bed,4.0,15.0,0,1,0.0,1,flexible,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,117.00000000000004
Jamaica Plain,Apartment,Entire home/apt,8,2.0,f,4.0,Real Bed,6.0,0.0,331,6,15.0,3,strict,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,428.9999999999999
Jamaica Plain,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,0.0,356,1,10.0,2,flexible,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,94.99999999999999
Jamaica Plain,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,20.0,0,1,0.0,1,flexible,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,69.00000000000003
Jamaica Plain,House,Private room,2,1.0,f,1.0,Real Bed,1.0,0.0,361,1,0.0,1,moderate,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,84.99999999999997
Jamaica Plain,Apartment,Private room,2,1.0,f,1.0,Futon,1.0,30.0,65,1,15.0,3,strict,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,69.00000000000003
Jamaica Plain,House,Entire home/apt,2,1.0,f,1.0,Real Bed,1.0,0.0,276,1,0.0,2,flexible,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,165.00000000000006
Jamaica Plain,Apartment,Entire home/apt,4,1.0,f,2.0,Real Bed,2.0,50.0,71,4,50.0,5,flexible,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,150.0
Jamaica Plain,Condominium,Entire home/apt,7,1.0,t,4.0,Real Bed,4.0,90.0,348,6,0.0,1,flexible,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,266.99999999999994
Jamaica Plain,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,25.0,74,1,25.0,2,moderate,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,87.00000000000003
Jamaica Plain,Townhouse,Private room,2,1.0,t,1.0,Real Bed,1.0,0.0,2,1,0.0,2,strict,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,61.99999999999999
Jamaica Plain,Apartment,Entire home/apt,2,1.0,f,1.0,Real Bed,1.0,40.0,66,2,10.0,2,moderate,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,109.99999999999997
Jamaica Plain,Apartment,Entire home/apt,6,2.0,f,3.0,Real Bed,3.0,90.0,197,1,0.0,4,strict,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,250.0000000000001
Jamaica Plain,Apartment,Entire home/apt,6,1.0,f,2.0,Real Bed,2.0,200.0,185,2,35.0,2,strict,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,150.0
Jamaica Plain,House,Entire home/apt,7,2.0,f,3.0,Real Bed,4.0,140.0,365,2,50.0,2,flexible,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,299.9999999999999
Jamaica Plain,Apartment,Entire home/apt,2,1.0,f,0.0,Real Bed,1.0,35.0,23,1,0.0,1,strict,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,118.99999999999997
Jamaica Plain,Apartment,Entire home/apt,2,1.0,f,0.0,Real Bed,1.0,25.0,120,2,0.0,2,moderate,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,174.99999999999991
Jamaica Plain,House,Entire home/apt,6,2.0,t,2.0,Real Bed,2.0,95.0,290,3,25.0,4,strict,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,194.99999999999991
Jamaica Plain,Condominium,Entire home/apt,4,1.0,f,2.0,Real Bed,2.0,80.0,0,1,0.0,2,strict,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,145.0
Jamaica Plain,Apartment,Entire home/apt,4,1.0,f,2.0,Real Bed,2.0,50.0,340,1,0.0,2,moderate,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,200.0
Jamaica Plain,House,Private room,1,1.0,f,1.0,Futon,1.0,0.0,339,1,0.0,1,flexible,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,89.99999999999997
Jamaica Plain,Apartment,Entire home/apt,4,1.0,f,2.0,Real Bed,2.0,50.0,310,4,50.0,2,moderate,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,210.00000000000003
Jamaica Plain,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,15.0,59,1,15.0,2,moderate,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,75.0
Jamaica Plain,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,10.0,0,1,0.0,1,flexible,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,45.99999999999995
Jamaica Plain,Condominium,Private room,2,1.0,f,1.0,Real Bed,1.0,0.0,365,1,0.0,2,flexible,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,75.0
